papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
PRGA4,75.0,32.92,7.86,1.987,0.0,2.006,12.76,16.96,-8.98,17.9,12.15,11.71,6.74,1.46,21.33,23.89,0.0,16044400000.0,1.24,9.94,65.31
PLIM4,0.59,1.89,0.03,0.02,0.0,0.016,-0.51,0.17,-0.05,1.5,0.65,11.93,1.55,0.8,10.95,1.72,0.0,6812390000.0,0.28,66.63,65.3
HGTX4,9.6,26.11,0.92,1.07,0.0,0.635,1.92,27.1,2.54,28.0,11.15,3.95,4.1,2.47,3.0,3.51,0.0,1704940000.0,0.12,4.62,65.2
MAGG3,59.4,-119.98,1.32,0.684,0.0,0.44,9.32,4.07,-1.55,6.41,5.34,16.82,0.57,1.14,14.05,1.1,0.0,2246130000.0,1.03,9.27,65.2
APER3,46.75,-32.82,2.02,2.677,0.0,1.015,115.28,14.43,-4.33,15.41,11.57,18.55,8.24,1.03,8.33,6.15,0.0,472202000.0,0.4,42.2,65.03
SIMH3,4.7,-17.38,1.45,0.097,1.5,0.049,0.47,0.57,-0.08,6.88,4.4,16.99,0.04,1.45,11.37,8.36,30183500.0,2824120000.0,20.98,43.68,65.01
CEED4,20.0,-2.87,-0.38,0.243,0.0,0.165,4.49,2.29,-0.15,10.65,8.29,10.61,8.45,1.13,8.67,13.14,0.0,-3617840000.0,-1.58,8.84,65.0
MGEL3,25.0,-5.77,15.51,0.15,0.0,0.186,1.08,1.94,-0.37,9.51,7.38,7.7,2.59,1.56,11.67,268.83,0.0,9319000.0,66.91,9.9,64.95
RDCD3,35.16,15.07,14.74,7.936,0.0,0.925,21.14,13.4,22.7,14.25,14.26,59.23,52.65,1.05,6.97,97.78,0.0,1605520000.0,1.04,12.16,64.93
ELPL6,30.2,5.05,0.99,0.287,0.0,0.202,-1.33,1.87,-0.36,4.62,3.42,15.38,5.69,0.6,12.5,19.68,0.0,6004320000.0,1.64,4.27,64.84
USIM6,8.03,71.6,0.42,0.38,0.0,0.247,0.72,10.72,2.18,12.06,5.21,3.54,1.15,4.26,2.98,0.58,317.5,24175800000.0,0.32,3.76,64.8
LOGN3,24.7,36.9,2.62,0.927,0.0,0.672,25.1,9.94,-1.4,14.97,7.21,9.32,2.51,1.11,7.65,7.1,501922.0,1011710000.0,1.66,25.81,64.75
ELPL5,30.5,5.1,1.0,0.29,0.0,0.204,-1.35,1.89,-0.36,4.64,3.44,15.38,5.69,0.6,12.5,19.68,0.0,6004320000.0,1.64,4.27,64.72
TPIS3,4.07,8.87,0.2,0.138,5.66,0.066,-0.15,0.75,-0.11,6.25,3.8,18.5,0.03,0.13,9.31,2.21,118041.0,912716000.0,1.5,7.61,64.71
TNLP4,20.36,25.96,0.71,0.344,0.0,0.125,1.29,3.4,-0.33,9.07,9.07,10.12,0.07,1.48,4.58,2.72,0.0,13736000000.0,2.02,15.39,64.67
WEGE3,43.69,29.29,8.62,4.581,1.79,4.663,17.62,20.72,22.85,20.45,18.61,22.11,16.43,1.71,29.21,29.42,376263000.0,21281600000.0,0.15,19.35,64.67
BRAV3,18.2,54.47,0.76,0.881,0.0,0.196,4.08,4.37,-0.34,11.25,6.36,20.17,1.56,1.4,5.31,1.39,226265000.0,11151200000.0,1.59,126.47,64.67
QUAL3,2.19,165.12,0.48,0.402,0.0,0.141,4.51,1.19,-0.47,2.85,1.66,33.88,0.8,1.08,18.47,0.29,4595940.0,1297730000.0,1.49,7.32,64.54
AMER3,5.12,0.14,0.23,0.075,0.0,0.059,0.43,-0.79,-0.18,-1.53,-6.72,9.54,53.64,1.49,9.43,163.84,27471300.0,4475000000.0,0.41,1.96,64.5
POWE3,10.9,23.92,0.99,0.618,0.0,0.378,6.57,17.61,-3.01,10.63,10.01,3.51,2.59,1.13,3.54,4.13,0.0,988330000.0,0.04,0.0,64.38
JPSA3,29.02,20.27,1.93,4.667,0.29,0.468,2.34,12.96,-1.68,20.35,12.83,36.02,46.31,5.31,4.56,9.51,7666510.0,1762140000.0,1.94,1.01,64.37
RLOG3,23.08,82.76,4.26,1.534,0.0,0.229,1.49,5.32,-0.5,12.43,6.68,28.85,7.07,2.64,5.36,5.15,0.0,2507240000.0,9.08,8.76,64.06
COCE6,35.0,7.33,0.53,0.323,0.0,0.182,-0.79,2.24,-0.41,6.73,4.33,14.39,4.4,0.48,9.03,7.19,0.0,5174440000.0,1.11,6.71,64.02
CESP4,16.29,0.01,0.0,0.004,0.0,0.0,0.0,0.01,0.0,5.21,2.43,25.12,72.05,3.32,3.13,13.95,0.0,7992040000.0,0.51,2.66,63.9
ENJU3,1.18,-11.61,0.77,0.915,0.0,0.574,1.49,-7.58,1.87,-1.41,8.2,12.07,7.88,3.2,16.43,6.64,1656460.0,313950000.0,0.0,34.84,63.88
VIVR3,0.92,-0.8,0.25,0.313,0.0,0.127,0.72,14.17,-2.73,14.58,12.5,2.21,38.35,1.71,0.97,31.2,120746.0,142168000.0,0.15,20.97,63.82
TMAR6,42.01,112.59,0.71,0.519,0.0,0.181,1.49,4.04,-0.5,8.29,3.21,12.84,0.42,1.62,5.78,0.63,0.0,20448500000.0,1.38,14.8,63.75
TMAR5,42.67,114.35,0.72,0.527,0.0,0.184,1.51,4.1,-0.51,8.35,3.24,12.84,0.42,1.62,5.78,0.63,0.0,20448500000.0,1.38,14.8,63.73
RAIA3,30.5,41.22,2.98,0.897,0.0,1.777,4.31,18.18,5.06,16.73,16.73,4.93,2.18,2.2,17.8,7.22,0.0,635785000.0,0.12,0.0,63.46
AZUL4,1.04,0.08,-0.03,0.047,0.0,0.038,-0.09,0.21,-0.02,7.56,4.68,22.26,58.76,0.35,22.22,41.81,125885000.0,-28451100000.0,-1.22,40.42,63.4
TMAR3,62.0,166.16,1.04,0.765,0.0,0.268,2.2,5.96,-0.74,10.21,3.96,12.84,0.42,1.62,5.78,0.63,0.0,20448500000.0,1.38,14.8,63.35
TSEP3,40.0,33.05,1.79,1.768,0.0,1.25,5.24,20.44,6.11,17.91,17.91,8.65,5.35,1.88,9.1,5.43,0.0,2047020000.0,0.0,4.5,63.22
FBRA4,34.58,-39.57,1.66,0.457,0.0,0.738,18.94,7.4,-4.43,10.62,10.62,6.18,1.15,1.11,11.94,4.2,0.0,213406000.0,0.77,12.48,63.22
ITSA3,11.08,7.9,1.4,14.65,8.0,1.086,19.98,211.17,-15.02,217.9,69.42,6.94,187.6,1.97,0.56,17.71,1498930.0,85938000000.0,0.13,3.61,62.94
ITSA4,11.14,7.94,1.41,14.729,7.96,1.092,20.09,212.32,-15.1,219.04,69.78,6.94,187.6,1.97,0.56,17.71,356595000.0,85938000000.0,0.13,3.61,62.93
TNLP3,27.75,35.39,0.96,0.468,0.0,0.17,1.76,4.63,-0.45,10.31,10.31,10.12,0.07,1.48,4.58,2.72,0.0,13736000000.0,2.02,15.39,62.86
MGEL4,5.13,-1.18,3.18,0.031,0.0,0.038,0.22,0.4,-0.07,7.97,6.18,7.7,2.59,1.56,11.67,268.83,20034.9,9319000.0,66.91,9.9,62.42
TUPY4,48.21,-162.5,2.1,0.659,0.0,0.65,1.79,8.21,-12.68,11.21,7.66,8.03,0.42,2.33,11.44,1.29,0.0,3314060000.0,1.28,21.64,62.31
BRPR3,131.17,-0.57,0.05,0.695,1202.89,0.038,1.73,12.11,-0.49,-3.7,-2.55,5.74,123.98,1.12,0.35,9.34,0.0,1136910000.0,0.07,25.05,62.31
SEBB11,23.27,28.01,6.44,2.214,0.0,5.279,24.65,23.96,28.94,23.73,23.73,9.24,7.4,2.44,24.15,23.01,0.0,145783000.0,0.01,50.04,62.28
ARCZ6,3.63,-1.86,1.94,1.087,0.0,0.366,1.52,9.42,-0.84,28.1,28.1,11.54,58.02,2.86,4.03,103.98,0.0,1934210000.0,3.92,0.75,62.15
ARCZ3,3.66,-1.88,1.95,1.096,0.0,0.369,1.53,9.5,-0.84,28.18,28.18,11.54,58.02,2.86,4.03,103.98,0.0,1934210000.0,3.92,0.75,62.12
UCOP4,6.5,18.01,1.3,19.05,0.0,0.844,5.14,22.7,-8.61,24.17,41.56,83.92,110.51,13.37,3.91,7.23,0.0,972713000.0,0.16,9.25,62.0
EPAR3,4.6,11.91,1.25,9.694,39.94,0.99,4.26,-10.61,23.49,-8.38,-10.62,91.39,81.38,13.71,11.84,10.5,46075.2,54645000.0,0.0,63.08,61.99
FFTL3,25.0,53.22,2.26,3.41,0.0,1.508,23.71,20.9,-15.54,20.55,20.55,16.32,8.16,1.37,8.91,4.24,0.0,6274030000.0,0.07,7.79,61.98
FFTL4,25.06,53.34,2.26,3.418,0.0,1.512,23.77,20.95,-15.58,20.6,20.6,16.32,8.16,1.37,8.91,4.24,0.0,6274030000.0,0.07,7.79,61.93
HBTS5,29.21,12.98,0.41,3.851,17.75,0.165,5.06,-4.5,-0.35,-8.39,-8.64,85.56,29.65,1.37,3.8,3.17,7797.62,647667000.0,0.43,8.46,61.84
TMGC3,15.0,23.77,3.05,2.182,0.0,2.101,12.7,33.47,22.43,32.14,32.14,6.52,9.18,1.69,8.73,12.83,0.0,1167010000.0,0.05,10.49,61.81
VIGR3,25.0,36.57,2.55,0.763,0.0,0.899,11.45,12.39,-5.02,15.2,22.95,6.16,2.28,1.26,9.06,6.98,0.0,1593560000.0,0.84,54.72,61.57
PEFX5,19.0,-52.04,1.68,0.477,0.0,0.597,20.34,5.75,-3.18,6.59,0.0,8.3,0.92,1.07,11.77,3.24,0.0,396955000.0,0.31,4.36,61.48
PEFX3,19.0,-52.04,1.68,0.477,0.0,0.597,20.34,5.75,-3.18,6.59,0.0,8.3,0.92,1.07,11.77,3.24,0.0,396955000.0,0.31,4.36,61.48
BHIA3,4.16,-0.33,0.19,0.014,0.0,0.012,-0.08,0.21,-0.02,4.8,3.05,6.69,4.28,0.74,7.82,57.06,48551200.0,2089000000.0,4.66,2.52,61.42
VVAR4,4.84,-0.39,0.22,0.017,0.0,0.014,-0.09,0.25,-0.03,4.83,3.07,6.69,4.28,0.74,7.82,57.06,0.0,2089000000.0,4.66,2.52,61.36
VVAR11,14.58,-0.39,0.22,0.017,0.0,0.014,-0.09,0.25,-0.03,4.83,3.08,6.69,4.28,0.74,7.82,57.06,0.0,2089000000.0,4.66,2.52,61.36
ELCA3,24.7,39.27,12.54,2.885,0.0,1.732,23.69,15.12,-3.28,18.92,14.98,19.08,10.06,1.38,13.45,31.93,0.0,4157530000.0,3.88,9.06,61.2
CRPG6,20.49,-5.06,1.01,0.835,0.0,0.682,1.62,-16.04,2.3,-12.53,-67.61,5.21,16.51,3.13,5.87,19.93,4315.93,589725000.0,0.02,8.0,61.0
CRPG5,20.69,-5.11,1.02,0.843,0.0,0.689,1.63,-16.2,2.32,-12.69,-68.45,5.21,16.51,3.13,5.87,19.93,28375.7,589725000.0,0.02,8.0,60.97
CRPG3,21.0,-5.19,1.03,0.856,0.0,0.699,1.66,-16.44,2.36,-12.93,-69.76,5.21,16.51,3.13,5.87,19.93,50.0,589725000.0,0.02,8.0,60.9
SUZA4,13.9,-8.22,0.21,0.049,0.0,0.015,0.11,0.17,-0.03,5.41,3.21,28.75,1.95,2.62,10.68,2.55,0.0,11459600000.0,7.94,12.74,60.83
BEEF3,5.17,-2.61,-4.83,0.082,0.0,0.078,0.42,1.21,-0.18,7.19,5.57,6.84,3.13,1.48,12.13,184.64,109862000.0,-650682000.0,-42.2,12.32,60.73
CPNY3,2.35,-11.0,0.42,0.232,0.0,0.054,0.2,1.21,-0.13,4.21,4.21,19.13,2.11,2.26,5.48,3.86,0.0,398830000.0,2.33,20.1,60.26
TELB3,12.54,211.56,0.8,2.607,0.0,0.286,0.72,-3.81,-1.62,0.4,3.62,68.46,1.23,6.45,11.78,0.38,15854.6,1467590000.0,0.01,14.29,60.24
SHOW3,0.7,-0.6,0.37,0.307,0.0,0.118,0.76,-2.15,-1.22,-0.83,-1.13,14.25,49.93,1.37,10.43,60.68,178516.0,128542000.0,0.53,87.72,60.1
MNDL4,0.38,1.45,0.02,0.004,0.0,0.003,-0.03,0.04,-0.01,4.78,4.14,10.15,0.26,0.81,7.63,1.62,0.0,160158000.0,3.0,14.29,60.0
CEPE3,1.28,78.93,5.58,1.181,0.0,0.687,329.32,7.31,-1.06,13.18,9.86,16.15,1.5,1.01,10.26,7.07,0.0,1711000000.0,4.78,2.23,59.86
MMAQ3,25.500100000000003,2.28,0.33,0.073,0.0,0.163,0.51,-7.78,0.53,-7.15,-24.66,0.94,3.21,1.64,3.48,14.45,0.0,286268000.0,0.23,21.96,59.73
CRBM7,60.0,-19.3,2.18,0.999,0.0,0.782,1.99,-10.3,11.26,-9.02,-9.02,9.7,5.18,2.24,12.71,11.28,0.0,827347000.0,0.45,1.58,59.65
PNVL4,18.62,28.74,2.25,0.563,0.0,0.882,3.3,17.02,-19.87,23.2,10.05,3.31,1.96,1.9,6.55,7.82,0.0,1245830000.0,0.98,15.22,59.56
AMBV4,86.8,26.59,8.74,8.027,0.0,5.253,144.02,20.54,-37.72,20.36,18.35,39.08,30.76,1.18,32.43,32.88,0.0,31105700000.0,0.1,21.73,59.41
AMBV3,87.0,26.65,8.76,8.045,0.0,5.266,144.35,20.59,-37.8,20.41,18.39,39.08,30.76,1.18,32.43,32.88,0.0,31105700000.0,0.1,21.73,59.37
WMBY3,25.39,-19.3,2.87,0.836,0.0,0.182,1.2,8.62,-1.5,25.02,25.02,9.7,7.05,1.44,2.39,14.86,0.0,212439000.0,6.51,14.48,59.24
ELPL3,49.32,8.24,1.62,0.469,0.0,0.33,-2.18,3.05,-0.58,5.8,4.3,15.38,5.69,0.6,12.5,19.68,0.0,6004320000.0,1.64,4.27,59.07
SULA4,7.63,53.73,1.17,0.444,0.26,0.323,0.88,-13.45,-4.73,6.24,8.02,3.3,0.83,2.29,5.62,2.17,0.0,8363840000.0,0.37,1.66,58.9
SULA3,7.43,52.32,1.13,0.433,0.27,0.314,0.85,-13.09,-4.61,6.59,8.48,3.3,0.83,2.29,5.62,2.17,0.0,8363840000.0,0.37,1.66,58.44
SULA11,22.25,52.23,1.13,0.432,0.27,0.314,0.85,-13.07,-4.6,6.62,8.51,3.3,0.83,2.29,5.62,2.17,0.0,8363840000.0,0.37,1.66,58.42
HAGA3,1.98,11.89,-0.46,0.776,0.0,0.351,0.67,-15.05,-0.41,2.83,8.09,5.16,6.53,2.43,9.11,3.9,5086.83,-50773000.0,-0.41,6.59,58.41
MOVI3,6.62,8.81,0.88,0.164,2.79,0.079,-2.05,0.76,-0.12,6.38,3.68,21.51,1.86,0.87,13.31,10.02,41695000.0,2607680000.0,7.66,35.89,58.33
GLOB4,30.49,-2.43,1.39,0.104,0.0,0.088,-0.59,1.56,-0.17,6.14,3.91,6.69,4.28,0.74,7.82,57.06,0.0,2089000000.0,4.66,2.52,58.24
ETER4,9.85,21.91,0.77,0.516,0.0,0.467,2.79,28.84,49.67,34.13,9.76,1.79,2.36,1.72,1.78,3.49,0.0,795309000.0,0.17,6.88,58.16
ALSC3,27.75,38.57,2.2,10.717,0.95,1.202,9.41,19.33,-4.22,17.49,14.08,55.45,29.3,5.39,7.03,5.69,0.0,2593960000.0,0.0,2.34,58.07
MNPR4,4.63,2.27,-0.11,0.091,0.0,0.086,-0.09,0.5,-0.07,0.5,0.44,18.04,4.01,0.37,18.17,4.83,0.0,-300501000.0,0.0,7.2,58.0
TELB4,8.8,148.46,0.56,1.83,0.0,0.2,0.51,-2.67,-1.14,1.54,13.89,68.46,1.23,6.45,11.78,0.38,24216.9,1467590000.0,0.01,14.29,57.99
CRBM3,90.0,-28.95,3.26,1.498,0.0,1.172,2.98,-15.45,16.9,-14.17,-14.17,9.7,5.18,2.24,12.71,11.28,0.0,827347000.0,0.45,1.58,57.94
TRAD3,7.89,-3.68,1.69,7.598,0.0,1.544,7.16,-6.34,7.84,-5.82,-7.74,119.86,206.79,4.05,28.27,45.9,368674.0,186999000.0,0.01,26.05,57.8
BISA3,1.58,-1.77,1.18,1.692,0.0,0.321,0.86,-4.02,-7.64,-6.21,-9.28,42.05,96.36,2.22,8.5,66.94,0.0,1788370000.0,0.77,24.23,57.79
GVTT3,57.7,57.38,3.68,4.312,0.0,2.268,21.82,25.92,-18.43,26.65,26.65,16.64,7.52,1.66,10.32,6.42,0.0,2150790000.0,0.24,31.47,57.78
HOOT4,3.8,0.86,-1.46,0.392,0.0,0.134,-1.21,1.11,-0.14,0.6,0.52,35.34,45.44,0.64,13.04,169.21,62963.8,-47880000.0,-0.02,67.97,57.6
SRNA3,11.39,1157.27,1.3,1.544,0.0,0.343,15.0,6.03,-0.6,15.15,9.04,25.62,0.14,1.16,6.17,0.11,73695300.0,5443630000.0,2.2,35.93,57.39
CRUZ3,27.59,25.31,22.46,6.614,0.0,7.185,62.03,20.74,124.93,20.75,19.27,31.89,26.13,1.19,46.8,88.76,0.0,1877350000.0,0.63,3.04,57.31
RAIZ4,2.14,-5.2,1.26,0.087,0.47,0.157,1.46,9.06,-0.36,28.17,5.84,0.96,1.64,1.33,2.51,24.2,29241800.0,17588500000.0,3.89,25.11,57.27
MBLY3,0.94,-0.77,0.32,0.142,0.0,0.057,1.21,-1.73,-0.1,-6.73,12.09,8.25,20.23,1.16,3.79,41.44,391403.0,360011000.0,0.99,3.12,57.15
GRNL4,4.7,11.09,1.07,7.231,0.0,0.975,8.04,-64.72,15.01,-63.22,-63.22,11.17,65.19,4.35,1.65,9.69,0.0,93104000.0,0.05,21.48,56.99
TCSA3,1.25,-0.68,0.24,0.214,0.0,0.073,2.85,-0.82,-0.22,-4.82,-5.18,26.05,32.22,1.08,10.3,35.79,133301.0,378640000.0,1.57,31.46,56.49
EPAR4,3.3,8.55,0.9,6.954,0.0,0.71,3.06,-7.61,16.85,-5.38,-6.82,91.39,81.38,13.71,11.84,10.5,0.0,54645000.0,0.0,63.08,56.28
VSTE3,6.04,-73.67,0.67,0.612,0.02,0.419,4.9,16.49,-5.12,23.61,4.61,3.71,0.83,1.41,2.84,0.91,128244.0,1029440000.0,0.33,16.88,56.11
APTI4,35.0,2.62,0.26,1.757,0.0,0.13,0.33,-11.78,-5.74,-5.41,-9.94,14.92,67.0,5.86,1.37,9.84,0.0,257695000.0,0.23,19.44,56.1
AURE3,9.48,1712.1,0.75,1.036,0.6,0.191,2.89,6.85,-0.37,20.6,12.89,15.12,0.75,1.45,3.23,0.04,45403100.0,13251500000.0,1.97,39.77,56.01
ASSM4,6.1,0.29,-0.15,-8.357,0.0,0.133,-0.2,0.4,-0.08,1.88,1.88,2084.39,2915.61,0.21,35.38,50.73,0.0,-9943000.0,-0.56,8.79,55.88
ASSM3,7.12,0.33,-0.17,-9.754,0.0,0.155,-0.23,0.47,-0.09,1.95,1.95,2084.39,2915.61,0.21,35.38,50.73,0.0,-9943000.0,-0.56,8.79,55.69
PEAB3,39.0,20.56,0.82,7.576,2.13,0.57,3.32,-41.15,-5.93,-38.26,-216.34,18.41,36.86,5.51,1.67,3.99,26421.0,898730000.0,0.18,5.87,55.58
MNPR3,25.18,12.32,-0.59,0.493,0.0,0.47,-0.48,2.73,-0.38,2.73,2.41,18.04,4.01,0.37,18.17,4.83,100871.0,-300501000.0,0.0,7.2,55.57
MOSI3,8.24,32.29,1.56,4.761,0.0,1.453,1.89,89.69,1.9,42.98,24.91,5.31,14.75,13.3,8.12,4.82,0.0,670337000.0,0.0,0.0,55.52
UCAS3,1.5,23.48,0.53,0.446,12.11,0.255,3.42,-15.01,-1.27,-23.78,17.37,2.97,1.9,1.3,2.06,2.26,119300.0,186424000.0,0.59,5.11,55.29
CALI3,25.0,10.41,1.03,1.821,1.08,0.295,0.67,-34.4,173.17,-46.12,-85.06,5.29,16.55,4.15,0.96,9.93,0.0,168992000.0,0.66,17.32,55.11
PDTC3,1.35,-8.04,0.87,0.343,0.0,0.156,0.4,11.61,-1.06,33.04,9.22,2.95,4.27,2.4,1.83,10.83,79055.3,123253000.0,2.72,8.33,55.05
AMOB3,0.25,-3.77,0.21,0.033,0.0,0.053,0.24,1.63,-0.35,10.58,5.7,2.0,0.86,1.61,4.5,5.55,2488010.0,2262550000.0,1.53,0.0,54.4
MLAS3,1.0,-4.37,0.28,0.24,0.0,0.155,0.44,-5.69,0.67,-7.18,-12.29,4.22,5.48,2.11,3.78,6.35,2375820.0,2953430000.0,0.23,9.19,54.15
BPHA3,0.62,0.06,-0.24,-20.054,0.0,0.995,-0.38,0.78,-0.2,1.6,1.43,2581.69,33652.5,0.06,401.01,402.5,0.0,-292294000.0,-0.26,53.39,54.12
DAGB33,3.75,71.75,1.6,0.64,0.0,0.51,15.24,11.87,-1.27,19.35,30.65,5.39,1.67,1.17,4.96,2.24,0.0,12597300000.0,1.18,32.08,54.04
PEAB4,48.02,25.31,1.01,9.329,1.81,0.701,4.09,-50.67,-7.3,-47.77,-270.16,18.41,36.86,5.51,1.67,3.99,12769.8,898730000.0,0.18,5.87,53.99
CASH3,7.28,-35.52,1.8,1.657,34.63,1.304,2.93,-37.58,3.52,-23.92,-99.61,4.41,5.33,3.35,6.86,5.07,38362000.0,352593000.0,0.0,21.69,53.94
DPPI4,38.9,7.62,2.28,-0.665,0.0,1.718,3.98,87.28,4.46,73.74,73.74,0.76,5.04,3.14,3.0,29.97,0.0,545227000.0,0.06,15.14,53.91
ORVR3,51.55,147.29,5.54,4.573,0.0,1.262,10.07,17.23,-2.62,23.35,13.84,26.54,4.36,1.93,8.66,3.76,28515700.0,771834000.0,2.5,26.32,53.7
TSPP4,9.05,1.24,0.37,0.188,0.0,0.162,-4.02,0.85,-0.65,1.3,1.3,22.01,15.2,0.89,23.92,29.88,0.0,9816290000.0,0.35,13.06,53.58
AMBP3,130.67,-97.09,16.59,3.17,0.0,1.271,4.4,19.16,-3.02,24.64,14.86,16.54,1.97,2.88,9.64,17.09,10481400.0,1315480000.0,8.5,64.52,53.44
RPMG4,0.26,-0.01,0.0,0.002,0.0,0.002,-0.01,-0.01,0.0,0.02,0.02,21.1,17.66,0.78,17.8,19.39,0.0,-6919010000.0,0.0,46.33,53.19
AEDU3,18.35,59.34,3.32,4.141,0.0,2.159,17.0,41.06,-21.55,43.27,29.01,10.08,6.98,2.04,5.77,5.6,0.0,2415400000.0,0.3,20.9,53.19
RCTB33,57.0,0.96,0.0,0.012,0.0,0.001,0.0,-0.02,-0.01,4.19,37.92,68.46,1.23,6.45,11.78,0.38,0.0,1467590000.0,0.01,14.29,53.01
RCTB41,33.51,0.57,0.0,0.007,0.0,0.001,0.0,-0.01,0.0,4.2,37.98,68.46,1.23,6.45,11.78,0.38,0.0,1467590000.0,0.01,14.29,53.01
RCTB31,41.0,0.69,0.0,0.009,0.0,0.001,0.0,-0.01,-0.01,4.2,37.96,68.46,1.23,6.45,11.78,0.38,0.0,1467590000.0,0.01,14.29,53.01
SZPQ4,6.64,-7.85,2.2,0.855,0.0,0.744,2.62,-20.31,-3.17,-22.77,-22.77,4.21,10.89,2.97,3.77,28.0,0.0,684467000.0,0.3,11.71,53.0
GAZO4,2.32,0.31,-0.03,-1.411,0.0,0.205,-0.46,0.86,-0.03,1.03,1.03,164.0,454.48,0.35,25.06,10.61,0.0,-102667000.0,-0.01,28.21,53.0
LUPA3,1.23,-1.45,0.43,0.487,0.0,0.103,3.21,-2.99,-0.22,-13.29,-13.29,16.26,33.56,1.13,3.6,29.49,204053.0,121242000.0,1.49,11.89,52.81
FLCL6,9.91,54.47,11.27,3.173,0.0,2.1,29.25,28.92,-4.38,34.82,34.82,10.97,5.83,1.27,9.09,20.69,0.0,396319000.0,3.06,2.72,52.79
HAGA4,1.23,7.39,-0.29,0.482,0.0,0.218,0.42,-9.35,-0.25,8.52,24.41,5.16,6.53,2.43,9.11,3.9,10231.7,-50773000.0,-0.41,6.59,52.72
LIXC4,1.45,-2.17,1.26,0.32811,0.0,0.057,0.23,-3.49,3.18,-5.65,-5.92,9413.21,14386.8,1.34,1.9,57.85,0.0,13842000.0,0.79,75.9,52.61
LIXC3,1.75,-2.62,1.52,0.395995,0.0,0.069,0.28,-4.21,3.84,-6.37,-6.68,9413.21,14386.8,1.34,1.9,57.85,0.0,13842000.0,0.79,75.9,52.34
LATM11,28.65,-0.68,0.02,0.006,0.0,0.003,-0.02,0.05,0.0,7.74,7.74,11.46,0.39,0.49,6.55,2.37,0.0,11357000000.0,2.92,16.69,52.31
BRKM5,11.09,-0.95,-2.09,0.112,0.0,0.093,1.08,9.69,-0.14,49.29,7.72,1.16,12.7,1.32,1.37,219.0,40294400.0,-4236000000.0,-11.6,1.8,52.1
BRKM3,10.99,-0.94,-2.07,0.111,0.0,0.092,1.07,9.61,-0.13,49.2,7.7,1.16,12.7,1.32,1.37,219.0,304130.0,-4236000000.0,-11.6,1.8,52.1
GAZO3,3.4,0.45,-0.05,-2.068,0.0,0.301,-0.67,1.26,-0.04,1.43,1.43,164.0,454.48,0.35,25.06,10.61,0.0,-102667000.0,-0.01,28.21,51.69
LINX3,37.4,-90.95,4.38,7.885,1.52,2.745,11.96,53.17,47.06,51.49,22.97,14.83,8.67,2.14,6.82,4.81,0.0,1619010000.0,0.22,15.54,51.64
HAPV3,2.84,-40.52,0.44,0.737,0.0,0.288,3.36,25.02,-1.62,29.3,14.26,2.95,1.82,2.1,1.33,1.08,193298000.0,48864200000.0,0.27,37.75,51.54
DMMO3,1.76,-258.65,-1.72,2.854,0.0,3.346,11.9,6.37,-1.37,5.9,5.42,44.81,1.1,2.25,70.39,0.66,0.0,-553275000.0,0.0,17.37,51.49
SEMP3,16.86,-8.12,1.36,15.081,0.0,1.201,15.67,-4.42,15.67,-4.07,-4.07,340.98,185.82,1.64,30.21,16.81,0.0,118441000.0,0.0,10.37,51.22
BIOM4,8.68,-15.33,4.39,7.649,0.0,2.457,7.96,-16.83,42.93,-16.87,-16.7,45.46,49.9,2.64,21.8,28.61,0.0,250993000.0,0.46,18.27,51.15
CCIM3,5.52,-16.44,0.94,0.498,0.0,0.198,0.53,8.96,-1.09,25.04,38.84,5.55,3.03,2.58,2.38,5.75,0.0,660347000.0,1.93,29.98,51.1
FLCL3,11.5,63.21,13.08,3.682,0.0,2.437,33.94,33.56,-5.08,39.46,39.46,10.97,5.83,1.27,9.09,20.69,0.0,396319000.0,3.06,2.72,50.67
VGOR4,5.87,-29.58,7.18,1.229,0.0,1.468,113.97,27.32,-3.22,34.09,34.09,4.5,4.59,1.04,6.0,24.29,0.0,135178000.0,1.89,4.77,50.64
RNPT3,31.87,5.75,0.39,0.468,0.0,0.38,57.12,56.21,57.12,56.15,56.15,0.83,8.13,1.38,0.68,6.72,0.0,63944000.0,0.0,4.85,50.5
RNPT4,31.81,5.74,0.39,0.467,0.0,0.379,57.01,56.1,57.01,56.05,56.05,0.83,8.13,1.38,0.68,6.72,0.0,63944000.0,0.0,4.85,50.5
ELEK3,19.11,24.46,2.66,0.619,0.34,1.067,3.75,52.11,-110.34,65.77,26.15,1.19,2.53,1.94,2.52,10.87,0.0,226327000.0,0.99,5.69,50.36
CTWR3,100.0,9.76,56.77,0.317,0.0,1.141,3.79,-10.64,-142.17,-8.91,-8.91,2.98,3.25,1.45,21.86,581.91,0.0,879000.0,5.52,4.94,50.2
BRKM6,6.82,-0.59,-1.28,0.069,0.0,0.057,0.66,5.96,-0.08,45.56,7.13,1.16,12.7,1.32,1.37,219.0,185.14,-4236000000.0,-11.6,1.8,50.08
RDNI3,2.59,-0.82,0.51,0.234,0.0,0.085,0.39,-2.09,-0.26,-11.96,-13.6,11.18,27.67,1.79,4.27,62.76,24674.4,220547000.0,2.55,4.46,50.08
