papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
PTPA4,80.0,3.86,1.19,0.528,0.0,0.392,2.38,3.79,-1.33,7.23,5.45,13.93,13.69,1.79,13.27,30.85,0.0,1201690000.0,1.59,18.08,83.22
KROT4,5.12,9.77,0.77,1.478,0.0,0.397,7.37,4.63,-1.63,7.26,5.44,31.91,16.76,1.38,9.55,7.9,0.0,12444500000.0,0.55,8.79,83.19
RAPT4,8.25,8.52,0.87,0.216,4.97,0.15,0.54,1.9,-0.7,6.67,5.28,11.38,4.61,2.06,9.91,10.27,33825300.0,3105150000.0,2.93,16.83,83.18
MULT3,25.9,10.16,2.31,5.219,4.44,1.053,20.79,7.25,-2.83,9.56,8.87,71.98,51.36,1.41,16.53,22.76,108550000.0,5746470000.0,0.95,24.57,83.16
TEND3,22.58,14.76,2.55,0.813,0.76,0.539,2.09,6.31,-2.79,7.32,6.32,12.89,5.08,1.77,10.28,17.3,39466700.0,1083720000.0,0.95,8.5,83.15
CPSL3,38.02,8.56,3.49,0.787,0.0,2.043,7.39,5.79,11.84,5.48,5.48,13.59,9.2,1.89,57.15,40.82,0.0,1634730000.0,0.17,16.21,83.07
ALLD3,6.8,5.81,0.4,0.121,18.96,0.187,0.57,5.29,1.07,6.42,4.49,2.29,2.08,1.86,6.13,6.9,353664.0,1601680000.0,0.3,0.99,83.05
CLSC5,39.01,2.04,0.39,0.136,0.0,0.112,1.61,1.33,-0.28,4.41,3.35,10.22,6.67,1.28,9.67,19.06,0.0,3863830000.0,1.09,2.51,82.99
PRIO3,38.8,3.07,1.31,2.229,0.0,0.635,6.1,5.68,-1.75,8.6,5.52,39.28,72.61,3.19,12.34,42.58,484763000.0,26603200000.0,0.83,59.11,82.97
FRAS4,5.79,4.77,0.73,0.351,0.0,0.232,0.88,2.36,-1.22,5.41,4.2,14.85,7.53,2.19,12.3,15.38,0.0,2131360000.0,1.28,20.69,82.94
GETT4,2.4,7.55,1.24,1.336,0.0,0.081,3.13,6.04,3.36,6.86,4.78,22.13,17.66,1.03,1.36,16.41,0.0,3618060000.0,0.34,0.0,82.93
